thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
44,0,44,down,1,0.981907700013835,None,1,44,0,44,0,84.48689780000132,,84.47503299999516,84.48689780000132,85.48755089996848,85.48755089996848,86.47500939999009,down,1,0.981907700013835,None,1,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
45,0,45,up,0,0.6756703999708407,None,1,45,0,45,0,86.48723739996785,,86.47531159996288,86.48723739996785,87.48744060000172,87.48744060000172,88.17514020000817,up,0,0.6756703999708407,None,1,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
46,0,46,down,1,0.5767093999893405,None,-4,46,0,46,0,88.18729649996385,,88.1754360999912,88.18729649996385,89.18749439995736,89.18749439995736,89.77538790000835,down,1,0.5767093999893405,None,-4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
47,0,47,up,1,0.7345208000042476,None,0,47,0,47,0,89.78745000000345,,89.77566359995399,89.78745000000345,90.78759019996505,90.78759019996505,91.52545259997714,up,1,0.7345208000042476,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
48,0,48,down,1,0.568675999995321,None,-4,48,0,48,0,91.53723839996383,,91.52574549999554,91.53723839996383,92.53761369996937,92.53761369996937,93.10883099999046,down,1,0.568675999995321,None,-4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
49,0,49,up,0,0.5823069000034593,None,2,49,0,49,0,93.1207335999934,,93.10912489995826,93.1207335999934,94.1209816999617,94.1209816999617,94.70843579998473,up,0,0.5823069000034593,None,2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
50,0,50,down,0,0.7637902999995276,None,0,50,0,50,0,94.72075869998662,,94.70871999999508,94.72075869998662,95.7210616999655,95.7210616999655,96.49231699999655,down,0,0.7637902999995276,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
51,0,51,up,0,0.6243082000291906,None,-5,51,0,51,0,96.50432599999476,,96.4926104999613,96.50432599999476,97.50443139998242,97.50443139998242,98.14202749996912,up,0,0.6243082000291906,None,-5,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
52,0,52,down,1,0.7081134000327438,None,1,52,0,52,0,98.15493169997353,,98.1423167999601,98.15493169997353,99.15451379999286,99.15451379999286,99.88112679996993,down,1,0.7081134000327438,None,1,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
53,0,53,down,0,0.7949297999730334,None,0,53,0,53,0,99.9029193999595,,99.88139559997944,99.9029193999595,100.88799959997414,100.90474579995498,101.69227589998627,down,0,0.7949297999730334,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
54,0,54,up,0,0.7386710999999195,None,-2,54,0,54,0,101.70443139999406,,101.69256979995407,101.70443139999406,102.70473419997143,102.70473419997143,103.45942339999601,up,0,0.7386710999999195,None,-2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
55,0,55,up,1,1.0069717000005767,None,0,55,0,55,0,103.4712515999563,,103.4596950999694,103.4712515999563,104.47146689996589,104.47146689996589,105.49232039996423,up,1,1.0069717000005767,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
56,0,56,up,1,0.8306526999804191,None,0,56,0,56,0,105.50467499997467,,105.49259310000343,105.50467499997467,106.50634909997461,106.50634909997461,107.34257759997854,up,1,0.8306526999804191,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
57,0,57,up,1,0.764233099995181,None,0,57,0,57,0,107.35477390000597,,107.3428441999713,107.35477390000597,108.3548676999635,108.3548676999635,109.12574449996464,up,1,0.764233099995181,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
58,0,58,up,0,0.47137270000530407,None,-2,58,0,58,0,109.13825369998813,,109.12601329997415,109.13825369998813,110.13835149997612,110.13835149997612,110.62551859999076,up,0,0.47137270000530407,None,-2,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
59,0,59,down,1,0.6857262999983504,None,-3,59,0,59,0,110.63804319995688,,110.6257833999698,110.63804319995688,111.63847249996616,111.63847249996616,112.32633750000969,down,1,0.6857262999983504,None,-3,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
60,0,60,down,1,0.8744034999981523,None,-5,60,0,60,0,112.3383671999909,,112.32663269998739,112.3383671999909,113.33923139999388,113.33923139999388,114.22788779996336,down,1,0.8744034999981523,None,-5,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
61,0,61,up,0,1.0961297000176273,None,1,61,0,61,0,114.23903080000309,,114.22817630000645,114.23903080000309,115.23849580000388,115.23849580000388,116.34293739998247,up,0,1.0961297000176273,None,1,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
62,0,62,up,1,0.750730499974452,None,0,62,0,62,0,116.35523499996634,,116.34320299996762,116.35523499996634,117.35536599997431,117.35536599997431,118.10985799995251,up,1,0.750730499974452,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
