pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,106,2,26,c,1,0.2549643999991531,None,26,2,106,2,,,,,262.13542419999794,,262.12099659999876,262.13542419999794,263.1352928999986,263.1352928999986,263.1352928999986,263.1352928999986,263.1352928999986,264.1353569999992,264.1353569999992,264.4041576999989,c,1,0.2549643999991531,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,107,3,26,z,1,0.2637152999996033,None,26,3,107,3,,,,,264.41886319999685,,264.4050994999998,264.41886319999685,265.4188875,265.4188875,265.4188875,265.4188875,265.4188875,266.4189471999998,266.4189471999998,266.6873314000004,z,1,0.2637152999996033,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,108,0,27,x,1,0.3260725999971328,None,27,0,108,0,,,,,266.7021047999988,,266.6879888000003,266.7021047999988,267.7021628000002,267.7021628000002,267.7021628000002,267.7021628000002,267.7021628000002,268.70226719999846,268.70226719999846,269.03731179999886,x,1,0.3260725999971328,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,109,1,27,v,1,0.3770876999988104,None,27,1,109,1,,,,,269.0522467999981,,269.0379600999986,269.0522467999981,270.05237569999736,270.05237569999736,270.05237569999736,270.05237569999736,270.05237569999736,271.0523874999999,271.0523874999999,271.4374112999976,v,1,0.3770876999988104,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,110,2,27,c,1,0.31792009999844595,None,27,2,110,2,,,,,271.45236730000033,,271.4382149999983,271.45236730000033,272.45241129999704,272.45241129999704,272.45241129999704,272.45241129999704,272.45241129999704,273.4524222999971,273.4524222999971,273.78744480000023,c,1,0.31792009999844595,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,111,3,27,z,1,0.7402603999980784,None,27,3,111,3,,,,,273.8024372,,273.78808449999997,273.8024372,274.80267009999807,274.80267009999807,274.80267009999807,274.80267009999807,274.80267009999807,275.8027355999984,275.8027355999984,276.55462929999703,z,1,0.7402603999980784,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,112,0,28,x,1,0.2698800999969535,None,28,0,112,0,,,,,276.56926499999827,,276.5553164999983,276.56926499999827,277.56928069999776,277.56928069999776,277.56928069999776,277.56928069999776,277.56928069999776,278.5692885999997,278.5692885999997,278.8543155999978,x,1,0.2698800999969535,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,113,1,28,v,1,0.8061756000024616,None,28,1,113,1,,,,,278.86948269999993,,278.85496449999846,278.86948269999993,279.8694235999974,279.8694235999974,279.8694235999974,279.8694235999974,279.8694235999974,280.8694336999979,280.8694336999979,281.6877256999978,v,1,0.8061756000024616,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,114,2,28,c,1,0.6108377000018663,None,28,2,114,2,,,,,281.7028283999971,,281.68836379999993,281.7028283999971,282.7028728999976,282.7028728999976,282.7028728999976,282.7028728999976,282.7028728999976,283.7029029999976,283.7029029999976,284.3219663999989,c,1,0.6108377000018663,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,115,3,28,z,1,0.4843044999979611,None,28,3,115,3,,,,,284.3363363999997,,284.3226326999975,284.3363363999997,285.3364298999986,285.3364298999986,285.3364298999986,285.3364298999986,285.3364298999986,286.3364404999993,286.3364404999993,286.8380529999995,z,1,0.4843044999979611,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
